,_id,_type,abuse_flaggers,anonymous,anonymous_to_peers,at_position_list,author_id,author_username,body,child_count,closed,comment_count,comment_thread_id,commentable_id,context,course_id,created_at,depth,endorsed,endorsement,historical_abuse_flaggers,last_activity_at,parent_id,parent_ids,pinned,sk,thread_type,title,updated_at,visible,votes
0,575cbbd37e622b053900032e,Comment,[],False,False,[],6734413,ericakewang,"There has been various definitions of literacy, with some people defining it as the ability to read and comprehend while others may add in the ability to compose and apply. We need to define data literacy before developing a measure that has construct validity. For instance, the initial step towards training the general population to be data literate might revolve around awareness about the data being generated and collected everyday, understanding what data science can or cannot do, and a basic idea about how data science can impact their respective fields. Moving forwards, and even more ideally, some people may define data literacy as the ability to apply data science-- understanding and using the theories and tools to collect, analyze, generate conclusions, and make predictions from the data-- and having expertise in computer science, statistics, and a specific domain. I would design some tests to measure data literacy, but of course, the specific items and how the test is administered will be contingent on how data literacy is defined. ",0.0,,,575c71ad7e622b053900030c,,,course-v1:ColumbiaX+DS101X+1T2016,2016-06-12 01:33:07.556,0.0,False,,[],,,[],,575cbbd37e622b053900032e,,,2016-06-12 01:33:07.556,True,"{u'count': 0, u'point': 0, u'down_count': 0, u'up': [], u'down': [], u'up_count': 0}"
1,575d1babf3ea610511000310,Comment,[],False,False,[],1830339,ShirYee,"I do agree that validating the data is the 1st priority before even moving on doing big scale models. I have seen bad data collected ( either no or bad practice while entering data, hence garbage in garbage out), I have seen bad assumption in modeling system ( ex. total machine runtime in a month is max or equal to 24 hours x 30 (31) a month, but I have seen a machine incredibly have clock more than 30 hours a day ( how's that possible?)), this might due to lack of planning in data collection and the system admin didn't set a rule to the system.

If data is not clean, how could we trust the outcome even the model is perfect.",0.0,,,574efdd63ba2a905470005ca,,,course-v1:ColumbiaX+DS101X+1T2016,2016-06-12 08:22:03.672,0.0,False,,[],,,[],,575d1babf3ea610511000310,,,2016-06-12 08:22:03.672,True,"{u'count': 0, u'point': 0, u'down_count': 0, u'up': [], u'down': [], u'up_count': 0}"
2,575c602df3ea610532000304,Comment,[],False,False,[],6734413,ericakewang,"Hi there,

My name is Ke (pronounced as ""Kuh""), and I am a program evaluation professional in the field of K-12 education. I have received training in causal inferences in the social sciences field, but am very interested in using this course to enhance and expand my knowledge.

To measure the success of an online course, I would look for certain indicators, and these will include:  
1. The number of students enrolled in the course   
2. The number and percentage of students who complete the course with a passing grade (as a measure of student ""retention"")  
3. Student knowledge gains regarding the learning objectives of the course (assessed through pre- and post-survey)  
4. The extent to which students are satisfied with the clarity of instruction, relevance of course materials and assessment, etc. (assessed through a survey)  
5. How likely are the students going to incorporate the knowledge into their learning, job, or research (assessed through the survey)  
6. Student satisfaction with the course, as compared with other online courses that they have taken (if any) and traditional, face-to-face courses (again, assessed through the survey)

That's all for now. I look forward to learning new ideas.

Kindest, Ke",0.0,,,575bec4af3ea6105590002ee,,,course-v1:ColumbiaX+DS101X+1T2016,2016-06-11 19:02:05.449,0.0,False,,[],,,[],,575c602df3ea610532000304,,,2016-06-11 19:02:05.449,True,"{u'count': 0, u'point': 0, u'down_count': 0, u'up': [], u'down': [], u'up_count': 0}"
3,575cb2bf35c79c0556000320,Comment,[],False,False,[],6734413,ericakewang,"1. Strong knowledge in probability and statistics  
2. Computer science knowledge 
3. Domain-specific knowledge such as healthcare, finance, etc. ",0.0,,,575c67dc7e622b051500030b,,,course-v1:ColumbiaX+DS101X+1T2016,2016-06-12 00:54:23.968,0.0,False,,[],,,[],,575cb2bf35c79c0556000320,,,2016-06-12 00:54:23.968,True,"{u'count': 0, u'point': 0, u'down_count': 0, u'up': [], u'down': [], u'up_count': 0}"
4,5759668f35c79c055600019b,Comment,[],False,False,[],10578239,RachaelMart,"Mannisha,
I like to hold materials and to refer back to them too. But that is overriden by my preference to build a reference library that I can get to from any device, anytime.
I'm using Pocket and resisting the urge to print and write on these materials!

",0.0,,,5759114c7e622b055400019f,,,course-v1:ColumbiaX+DS101X+1T2016,2016-06-09 12:52:31.208,0.0,False,,[],,,[],,5759668f35c79c055600019b,,,2016-06-09 12:52:31.208,True,"{u'count': 0, u'point': 0, u'down_count': 0, u'up': [], u'down': [], u'up_count': 0}"
5,575a4aa3f3ea610508000223,Comment,[],False,False,[],10558284,DamodarPanigrahi,"Correction: 
""The unit of increment is 1000 pounds of X ***causes*** 47% increase in the probability of accident.""
should be
""The unit of increment is 1000 pounds of X ***explains*** 47% increase in the probability of accident.""
",0.0,,,575a4709f3ea610517000238,,,course-v1:ColumbiaX+DS101X+1T2016,2016-06-10 05:05:39.962,0.0,False,,[],,,[],,575a4aa3f3ea610508000223,,,2016-06-10 05:05:39.962,True,"{u'count': 0, u'point': 0, u'down_count': 0, u'up': [], u'down': [], u'up_count': 0}"
6,5759360535c79c052700016e,Comment,[],False,False,[],4410865,MarekChmel,"site is up and running now, I was able to finish this homework",0.0,,,57585d2c35c79c051e000111,,,course-v1:ColumbiaX+DS101X+1T2016,2016-06-09 09:25:25.763,0.0,False,,[],,,[],,5759360535c79c052700016e,,,2016-06-09 09:25:25.763,True,"{u'count': 0, u'point': 0, u'down_count': 0, u'up': [], u'down': [], u'up_count': 0}"
7,575901bb7e622b0527000151,Comment,[],False,False,[],3057619,Kalsifer,"Hi all, my name's Sean, I'm originally from Fresno, California, but now I live in Vernon, British Columbia with my wife.  I would measure an online course as successful if at the end of the course I understand the material and information of it's topic better than when I started.  I don't think all online courses are the same or equal, so being well versed in your topic means you took something valuable with you in the end to help your career.",0.0,,,5758ea20f3ea61052600014e,,,course-v1:ColumbiaX+DS101X+1T2016,2016-06-09 05:42:19.345,0.0,False,,[],,,[],,575901bb7e622b0527000151,,,2016-06-09 05:42:19.345,True,"{u'count': 0, u'point': 0, u'down_count': 0, u'up': [], u'down': [], u'up_count': 0}"
8,57589517f3ea61053b00012b,Comment,[],False,False,[],8633484,mlanghorst,"Found a workaround. See discussion ""Link in exercise does no work""",0.0,,,5758282b35c79c05330000db,,,course-v1:ColumbiaX+DS101X+1T2016,2016-06-08 21:58:47.411,0.0,False,,[],,,[],,57589517f3ea61053b00012b,,,2016-06-08 21:58:47.411,True,"{u'count': 0, u'point': 0, u'down_count': 0, u'up': [], u'down': [], u'up_count': 0}"
9,5758925d7e622b054e00011b,Comment,[],False,False,[],8633484,mlanghorst,"Hi Jay (and others who have this issue),

Thank you for this. 

It is possible to download the whole R set from the link you provided and install and run it. You will need to install additional packages but I got this app running. 

Hope this helps others that can't wait to continue as well.

Greetings,

Marco

![Golf][1]

  [1]: https://edxuploads.s3.amazonaws.com/14654223416448485.png",0.0,,,57566d00f012b7055600091a,,,course-v1:ColumbiaX+DS101X+1T2016,2016-06-08 21:47:09.029,0.0,False,,[],,,[],,5758925d7e622b054e00011b,,,2016-06-09 17:36:21.768,True,"{u'count': 0, u'point': 0, u'down_count': 0, u'up': [], u'down': [], u'up_count': 0}"
10,575892aaf3ea61054a000139,Comment,[],False,False,[],8633484,mlanghorst,"Found a workaround. See discussion ""Link in exercise does no work""",0.0,,,57585d2c35c79c051e000111,,,course-v1:ColumbiaX+DS101X+1T2016,2016-06-08 21:48:26.758,1.0,False,,[],,57588d4b35c79c050c00011d,[ObjectId('57588d4b35c79c050c00011d')],,57588d4b35c79c050c00011d-575892aaf3ea61054a000139,,,2016-06-08 21:48:26.758,True,"{u'count': 0, u'point': 0, u'down_count': 0, u'up': [], u'down': [], u'up_count': 0}"
11,575890367e622b054e000119,Comment,[],False,False,[],10556040,lilyvergara,"I too got this question wrong. I had searched for stop words and the definition of stop words seems to b subjective. One source will include all, each, its and own as a stop word and another will not. I wonder if there is there a best practice source to use when defining stop words?",0.0,,,56f3da7881e07b0526000371,,,course-v1:ColumbiaX+DS101X+1T2016,2016-06-08 21:37:58.209,0.0,False,,[],,,[],,575890367e622b054e000119,,,2016-06-08 21:37:58.209,True,"{u'count': 0, u'point': 0, u'down_count': 0, u'up': [], u'down': [], u'up_count': 0}"
12,57588d4b35c79c050c00011d,Comment,[],False,False,[],8633484,mlanghorst,I second that. Please fix this issue. ,1.0,,,57585d2c35c79c051e000111,,,course-v1:ColumbiaX+DS101X+1T2016,2016-06-08 21:25:31.088,0.0,False,,[],,,[],,57588d4b35c79c050c00011d,,,2016-06-08 21:25:31.088,True,"{u'count': 0, u'point': 0, u'down_count': 0, u'up': [], u'down': [], u'up_count': 0}"
13,5758295d35c79c053b0000ec,Comment,[],False,False,[],4410865,MarekChmel,"I would agree with the right answer, there are as the right answer suggest that many elections when the vote share did increase towards Republicans. ""Increase towards"" still can mean that Democrats won the elections.",0.0,,,57534684f012b705700007d7,,,course-v1:ColumbiaX+DS101X+1T2016,2016-06-08 14:19:09.811,0.0,False,,[],,,[],,5758295d35c79c053b0000ec,,,2016-06-08 14:19:09.811,True,"{u'count': 0, u'point': 0, u'down_count': 0, u'up': [], u'down': [], u'up_count': 0}"
